roi_label,condition,modality,parcel_category,parcel_name,hemisphere,mean_beta_mean,mean_beta_std,mean_beta_sem,mean_beta_count
lh_ag,bodies,visual,language,ag,lh,0.25222832707313686,0.361111585201898,0.1474231873253705,6
lh_ag,faces,visual,language,ag,lh,0.12150544993277675,0.23031682635125794,0.09402645062296346,6
lh_ag,false_belief,auditory,language,ag,lh,0.5195863255298926,0.4303823386161381,0.17570285398587782,6
lh_ag,false_photo,auditory,language,ag,lh,0.3032985623027585,0.47124999422395053,0.19238700452303314,6
lh_ag,math,auditory,language,ag,lh,-0.23673101381236064,0.36302419143749093,0.14820400555138183,6
lh_ag,nonwords,auditory,language,ag,lh,-0.07854019298339526,0.3337231323892936,0.13624189828617453,6
lh_ag,objects,visual,language,ag,lh,0.09341155117873241,0.2910807267542334,0.11883320908439463,6
lh_ag,quilted_speech,auditory,language,ag,lh,-0.03078344278363491,0.34405326199820785,0.14045915603928394,6
lh_ag,scenes,visual,language,ag,lh,0.02750786242008829,0.20213377753422207,0.08252076912334896,6
lh_ag,words_scr_objects,visual,language,ag,lh,-0.0012193515080858957,0.2696331127578573,0.11007725733584525,6
lh_antparietal,bodies,visual,md,antparietal,lh,0.2763026044690203,0.29609674777636025,0.12088099109160871,6
lh_antparietal,faces,visual,md,antparietal,lh,0.20473600088373992,0.20763730844723158,0.08476757621010012,6
lh_antparietal,false_belief,auditory,md,antparietal,lh,-0.024599438529001507,0.23364439735751566,0.09538492579766529,6
lh_antparietal,false_photo,auditory,md,antparietal,lh,0.10228588521828286,0.31469044184317335,0.1284718349077932,6
lh_antparietal,math,auditory,md,antparietal,lh,0.8655046985432832,0.33670794106952706,0.13746044132724156,6
lh_antparietal,nonwords,auditory,md,antparietal,lh,0.13191078622277316,0.21208689016863186,0.08658411034114104,6
lh_antparietal,objects,visual,md,antparietal,lh,0.26260749749753376,0.2465967257745828,0.10067269173145946,6
lh_antparietal,quilted_speech,auditory,md,antparietal,lh,0.14972540990467376,0.1776129914327086,0.07251020011657602,6
lh_antparietal,scenes,visual,md,antparietal,lh,0.28562414725745416,0.26361000905740734,0.10761833554685,6
lh_antparietal,words_scr_objects,visual,md,antparietal,lh,0.22307371002458556,0.2049629936068853,0.0836757917483666,6
lh_anttemp,bodies,visual,language,anttemp,lh,0.34125540436007656,0.34229490451080297,0.13974130960102654,6
lh_anttemp,faces,visual,language,anttemp,lh,0.23645595653807974,0.26606220966867294,0.10861944225427361,6
lh_anttemp,false_belief,auditory,language,anttemp,lh,0.9865977430931864,0.4744628280249309,0.19369863842982787,6
lh_anttemp,false_photo,auditory,language,anttemp,lh,0.7786847642489182,0.5072081740039156,0.20706686994639611,6
lh_anttemp,math,auditory,language,anttemp,lh,-0.2323788142348809,0.35342486462659,0.14428509679122759,6
lh_anttemp,nonwords,auditory,language,anttemp,lh,-0.03949961564059903,0.282103681974857,0.11516834589979666,6
lh_anttemp,objects,visual,language,anttemp,lh,0.2770335836884444,0.3166944048645741,0.1292899493854329,6
